"Building","Room Number","Room Tags"
"Academic Quadrangle","1010.1","Washroom, men's, accessible"
"Academic Quadrangle","1011.1","Washroom, women's, accessible"
"Academic Quadrangle","2103","Washroom, men's, accessible"
"Academic Quadrangle","2105","Washroom, women's, accessible"
"Academic Quadrangle","2016","Washroom, single-stall, accessible"
"Academic Quadrangle","2015","Washroom, single-stall, accessible"
"Academic Quadrangle","2022","Washroom, men's"
"Academic Quadrangle","2021","Washroom, women's"
"Academic Quadrangle","2007","Washroom, men's, accessible"
"Academic Quadrangle","2008","Washroom, women's, accessible"
"Academic Quadrangle","3122","Washroom, single-stall, accessible"
"Academic Quadrangle","3123","Washroom, single-stall, accessible"
"Academic Quadrangle","3060","Washroom, single-stall, accessible"
"Academic Quadrangle","3059","Washroom, single-stall, accessible"
"Academic Quadrangle","3137","Washroom, single-stall, accessible"
"Academic Quadrangle","3141A","Washroom, women's, accessible"
"Academic Quadrangle","3141B","Washroom, men's, accessible"
"Academic Quadrangle","3010","Washroom, women's, accessible"
"Academic Quadrangle","3007","Washroom, men's, accessible"
"Academic Quadrangle","3009","Washroom, single-stall, accessible"
"Academic Quadrangle","3158","Washroom, women's, accessible"
"Academic Quadrangle","3157","Washroom, men's, accessible"
"Academic Quadrangle","3141","Washroom, single-stall, accessible"
"Academic Quadrangle","3157.1","Washroom, single-stall, accessible"
"Academic Quadrangle","5041","Washroom, men's, accessible"
"Academic Quadrangle","5043","Washroom, women's, accessible"
"Academic Quadrangle","5032","Washroom, men's, accessible"
"Academic Quadrangle","5031","Washroom, women's, accessible"
"Academic Quadrangle","5084","Washroom, women's"
"Academic Quadrangle","5085","Washroom, men's, accessible"
"Academic Quadrangle","5011","Washroom, men's, accessible"
"Academic Quadrangle","5010","Washroom, women's, accessible"
"Academic Quadrangle","5023","Washroom, women's, accessible"
"Academic Quadrangle","5022","Washroom, men's"
"Academic Quadrangle","5106","Washroom, multi-stall, accessible"
"Academic Quadrangle","5107","Washroom, multi-stall, accessible"
"Academic Quadrangle","5022.1","Washroom, single-stall, accessible"
"Academic Quadrangle","5083","Washroom, single-stall, accessible"
"Academic Quadrangle","5011.1","Washroom, single-stall"
"Academic Quadrangle","6124","Washroom, men's"
"Academic Quadrangle","6123","Washroom, women's"
"Academic Quadrangle","6185","Washroom, men's, accessible"
"Academic Quadrangle","6186","Washroom, women's, accessible"
"Academic Quadrangle","6064","Washroom, men's"
"Academic Quadrangle","6063","Washroom, women's"
"Academic Quadrangle","6029","Washroom, single-stall"
"Academic Quadrangle","6030","Washroom, single-stall, accessible"
"Academic Quadrangle","6211","Washroom, women's"
"Academic Quadrangle","6212","Washroom, men's"
"Academic Quadrangle","6213","Washroom, single-stall, accessible"
"611 Alexander","104","Washroom, men's"
"611 Alexander","103","Washroom, women's"
"ACF","105","Washroom, women's"
"ACF","104","Washroom, men's"
"Alcan Aquatic Research Centre","101","Washroom, single-stall"
"Applied Sciences Building","892","Washroom, men's, accessible"
"Applied Sciences Building","894","Washroom, women's, accessible"
"Applied Sciences Building","890","Washroom, single-stall, accessible"
"Applied Sciences Building","990","Washroom, women's"
"Applied Sciences Building","994","Washroom, men's"
"Applied Sciences Building","996","Washroom, single-stall, accessible"
"Applied Sciences Building","1085.1","Washroom, single-stall, accessible"
"Applied Sciences Building","1085","Washroom, men's, accessible"
"Applied Sciences Building","1084.1","Washroom, single-stall, accessible"
"Applied Sciences Building","1084","Washroom, women's, accessible"
"Barbara Rae House","137","Washroom, men's"
"Barbara Rae House","139","Washroom, women's"
"Barbara Rae House","217","Washroom, residences"
"Barbara Rae House","237","Washroom, residences"
"Barbara Rae House","317","Washroom, residences"
"Barbara Rae House","337","Washroom, residences"
"Barbara Rae House","417","Washroom, residences"
"Barbara Rae House","437","Washroom, residences"
"Barbara Rae House","517","Washroom, residences"
"Barbara Rae House","537","Washroom, residences"
"Barbara Rae House","617","Washroom, residences"
"Barbara Rae House","637","Washroom, residences"
"Barbara Rae House","717","Washroom, residences"
"Barbara Rae House","737","Washroom, residences"
"Barbara Rae House","837","Washroom, residences"
"Bee Research Building","4010","Washroom, single-stall"
"Beedie Field Concession","102","Washroom, women's"
"Beedie Field Concession","104","Washroom, men's"
"Blusson Hall","9705","Washroom, single-stall, accessible"
"Blusson Hall","9707","Washroom, single-stall, accessible"
"Blusson Hall","9667","Washroom, men's, accessible"
"Blusson Hall","9669","Washroom, women's, accessible"
"Blusson Hall","10667","Washroom, men's, accessible"
"Blusson Hall","10669","Washroom, women's, accessible"
"Blusson Hall","10707","Washroom, single-stall, accessible"
"Blusson Hall","11707","Washroom, single-stall, accessible"
"Blusson Hall","11667","Washroom, men's, accessible"
"Blusson Hall","11669","Washroom, women's, accessible"
"Burnaby Mountain District Energy Utility","L2-12","Washroom, accessible"
"Burnaby Mountain District Energy Utility","L2-11","Washroom, accessible"
"Charles Chang Innovation Centre","200.10","Washroom, single-stall"
"Charles Chang Innovation Centre","200.11","Washroom, single-stall, accessible"
"Charles Chang Innovation Centre","200.12","Washroom, single-stall, accessible"
"Charles Chang Innovation Centre","200.13","Washroom, single-stall"
"Charles Chang Innovation Centre","313.1","Washroom, residences"
"Charles Chang Innovation Centre","301.1","Washroom, residences"
"Charles Chang Innovation Centre","312.1","Washroom, residences"
"Charles Chang Innovation Centre","311.1","Washroom, residences"
"Charles Chang Innovation Centre","302.1","Washroom, residences"
"Charles Chang Innovation Centre","310.1","Washroom, residences"
"Charles Chang Innovation Centre","308.1","Washroom, residences"
"Charles Chang Innovation Centre","307.1","Washroom, residences"
"Charles Chang Innovation Centre","305.1","Washroom, residences"
"Charles Chang Innovation Centre","309.1","Washroom, residences"
"Charles Chang Innovation Centre","306.1","Washroom, residences"
"Charles Chang Innovation Centre","304.1","Washroom, residences"
"Charles Chang Innovation Centre","303.1","Washroom, residences"
"Charles Chang Innovation Centre","413.1","Washroom, residences"
"Charles Chang Innovation Centre","401.1","Washroom, residences"
"Charles Chang Innovation Centre","412..1","Washroom, residences"
"Charles Chang Innovation Centre","411.1","Washroom, residences"
"Charles Chang Innovation Centre","402.1","Washroom, residences"
"Charles Chang Innovation Centre","410.1","Washroom, residences"
"Charles Chang Innovation Centre","408.1","Washroom, residences"
"Charles Chang Innovation Centre","407.1","Washroom, residences"
